,review_posted_date,review_header,review_rating,author,emotion
607,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
609,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
617,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
619,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
627,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
629,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
637,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
639,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
647,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
649,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
657,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
659,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
667,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
669,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
677,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
679,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
687,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
689,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
697,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
699,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
707,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
709,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
717,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
719,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
727,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
729,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
737,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
739,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
747,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
749,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
757,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
759,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
767,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
769,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
777,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
779,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
787,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
789,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
797,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
799,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
807,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
809,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
817,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
819,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
827,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
829,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
837,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
839,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
847,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
849,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
857,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
859,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
867,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
869,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
877,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
879,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
887,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
889,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
897,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
899,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
907,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
909,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
917,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
919,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
927,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
929,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
937,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
939,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
947,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
949,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
957,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
959,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
967,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
969,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
977,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
979,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
987,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
989,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
997,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
999,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1007,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1009,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1017,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1019,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1027,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1029,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1037,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1039,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1047,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1049,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1057,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1059,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1067,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1069,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1077,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1079,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1087,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1089,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1097,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1099,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1107,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1109,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1117,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1119,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1127,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1129,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1137,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1139,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1147,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1149,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1157,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1159,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1167,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1169,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1177,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1179,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1187,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1189,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1197,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1199,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1207,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1209,19 Mar 2019,Godrej Installation service is not good,2.0,Pranav Chauhan,happiness
1217,13 Oct 2019,Good product,5.0,AMIT KUMAR SOM,happiness
1220,06 Jun 2019,Best air conditioner,5.0,Srk,happiness
1222,24 Jul 2019,Good product,4.0,Deepak,happiness
1223,20 May 2019,Nice experience,5.0,Abhi,happiness
1224,15 Jul 2019,Great product.,5.0,Amazon Customer,happiness
1226,10 Nov 2019,Cool,4.0,Atul,happiness
1227,29 Jul 2019,Nice experience,4.0,prakash,happiness
1229,04 Jul 2019,Not good,3.0,Ashok,happiness
1231,10 Aug 2019,Good,4.0,Amazon Customer,happiness
